Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 ANCHTEN1	 ANCHTEN2	 ANCHTEN3	 
17.9	 73.0533	 45.7207	 45.7207	 73.0457	 45.7084	 45.7084	 
18	 73.0228	 45.7484	 45.7484	 73.0171	 45.7344	 45.7344	 
18.1	 73.0196	 45.7525	 45.7525	 73.0124	 45.7397	 45.7397	 
18.2	 73.0396	 45.7338	 45.7338	 73.0313	 45.7221	 45.7221	 
18.3	 73.0635	 45.7124	 45.7124	 73.0555	 45.7002	 45.7002	 
18.4	 73.0795	 45.7011	 45.7011	 73.0731	 45.6877	 45.6877	 
18.5	 73.0983	 45.6892	 45.6892	 73.0907	 45.6768	 45.6768	 
18.6	 73.099	 45.688	 45.688	 73.0916	 45.6754	 45.6754	 
18.7	 73.0865	 45.6949	 45.6949	 73.0763	 45.6845	 45.6845	 
18.8	 73.056	 45.7185	 45.7185	 73.0472	 45.7071	 45.7071	 
18.9	 73.027	 45.7447	 45.7447	 73.0191	 45.7325	 45.7325	 
19	 73.0187	 45.7529	 45.7529	 73.0127	 45.7393	 45.7393	 
19.1	 73.0391	 45.7344	 45.7344	 73.0306	 45.7228	 45.7228	 
19.2	 73.0613	 45.7142	 45.7142	 73.054	 45.7015	 45.7015	 
19.3	 73.0804	 45.7002	 45.7002	 73.0717	 45.6885	 45.6885	 
19.4	 73.0966	 45.6902	 45.6902	 73.0881	 45.6786	 45.6786	 
19.5	 73.1003	 45.687	 45.687	 73.091	 45.6759	 45.6759	 
19.6	 73.087	 45.6946	 45.6946	 73.0772	 45.684	 45.684	 
19.7	 73.0576	 45.7171	 45.7171	 73.0491	 45.7055	 45.7055	 
19.8	 73.0288	 45.7429	 45.7429	 73.0217	 45.7301	 45.7301	 
19.9	 73.0179	 45.7534	 45.7534	 73.0127	 45.739	 45.739	 
20	 73.0375	 45.7357	 45.7357	 73.0305	 45.7229	 45.7229	 
20.1	 73.0606	 45.7148	 45.7148	 73.0518	 45.7033	 45.7033	 
20.2	 73.0803	 45.7	 45.7	 73.0709	 45.6889	 45.6889	 
20.3	 73.0941	 45.6919	 45.6919	 73.0853	 45.6805	 45.6805	 
20.4	 73.1007	 45.6866	 45.6866	 73.0906	 45.6761	 45.6761	 
20.5	 73.0866	 45.6951	 45.6951	 73.0773	 45.684	 45.684	 
20.6	 73.0606	 45.7147	 45.7147	 73.0508	 45.704	 45.704	 
20.7	 73.0317	 45.7403	 45.7403	 73.0235	 45.7283	 45.7283	 
20.8	 73.0198	 45.7518	 45.7518	 73.0126	 45.7389	 45.7389	 
20.9	 73.0376	 45.7357	 45.7357	 73.0289	 45.7242	 45.7242	 
21	 73.0587	 45.7163	 45.7163	 73.0511	 45.7039	 45.7039	 
21.1	 73.079	 45.7008	 45.7008	 73.07	 45.6894	 45.6894	 
21.2	 73.0914	 45.6937	 45.6937	 73.0834	 45.6817	 45.6817	 
21.3	 73.1004	 45.6868	 45.6868	 73.0905	 45.6762	 45.6762	 
21.4	 73.0857	 45.6959	 45.6959	 73.0782	 45.6834	 45.6834	 
21.5	 73.0625	 45.7131	 45.7131	 73.0537	 45.7017	 45.7017	 
21.6	 73.0321	 45.7396	 45.7396	 73.026	 45.726	 45.726	 
21.7	 73.019	 45.7521	 45.7521	 73.0145	 45.7372	 45.7372	 
21.8	 73.0347	 45.738	 45.738	 73.0284	 45.7247	 45.7247	 
